,District,Republican,Democratic,Year,State,,,,,,,,,,,,,,,,,,,,
,4th,"233,922","94,065",2016,KY,,,,,,,,,,,,,,,,,,,,
,5th,"221,242",0,2016,KY,,,,,,,,,,,,,,,,,,,,
,6th,"202,099","128,728",2016,KY,,,,,,,,,,,,,,,,,,,,
,,"1,248,140","516,904",2016,KY,,,,,,,,,,,,,,,,,,,,
,,"1,090,177","813,246",2016,KY,,,,,,,,,,,,,,,,,,,,
,,"1,202,971","628,854",2016,KY,,,,,,,,,,,,,,,,,,,,
,1st,"243,645","63,785",2016,LA,,,,,,,,,,,,,,,,,,,,
,2d,0,"284,269",2016,LA,,,,,,,,,,,,,,,,,,,,
,3d,"220,621","56,215",2016,LA,,,,,,,,,,,,,,,,,,,,
,4th,"216,540","46,579",2016,LA,,,,,,,,,,,,,,,,,,,,
,5th,"255,662",0,2016,LA,,,,,,,,,,,,,,,,,,,,
,6th,"241,075","79,202",2016,LA,,,,,,,,,,,,,,,,,,,,
,,"1,177,543","530,050",2016,LA,,,,,,,,,,,,,,,,,,,,
,,"1,239,489","705,271",2016,LA,,,,,,,,,,,,,,,,,,,,
,,"1,178,638","780,154",2016,LA,,,,,,,,,,,,,,,,,,,,
,1st,"164,569","227,546",2016,ME,,,,,,,,,,,,,,,,,,,,
,2d,"192,878","159,081",2016,ME,,,,,,,,,,,,,,,,,,,,
,,"357,447","386,627",2016,ME,,,,,,,,,,,,,,,,,,,,
,,"335,593","357,735",2016,ME,,,,,,,,,,,,,,,,,,,,
,1st,"242,574","103,622",2016,MD,,,,,,,,,,,,,,,,,,,,
,2d,"102,577","192,183",2016,MD,,,,,,,,,,,,,,,,,,,,
,3d,"115,048","214,640",2016,MD,,,,,,,,,,,,,,,,,,,,
,4th,"68,670","237,501",2016,MD,,,,,,,,,,,,,,,,,,,,
,5th,"105,931","242,989",2016,MD,,,,,,,,,,,,,,,,,,,,
,6th,"133,081","185,770",2016,MD,,,,,,,,,,,,,,,,,,,,
,7th,"69,556","238,838",2016,MD,,,,,,,,,,,,,,,,,,,,
,8th,"124,651","220,657",2016,MD,,,,,,,,,,,,,,,,,,,,
,,"962,088","1,636,200",2016,MD,,,,,,,,,,,,,,,,,,,,
,,"972,557","1,659,907",2016,MD,,,,,,,,,,,,,,,,,,,,
,,"943,169","1,677,928",2016,MD,,,,,,,,,,,,,,,,,,,,
,1st,0,"235,803",2016,MA,,,,,,,,,,,,,,,,,,,,
,2d,0,"275,487",2016,MA,,,,,,,,,,,,,,,,,,,,
,3d,"107,519","236,713",2016,MA,,,,,,,,,,,,,,,,,,,,
,4th,"113,055","265,823",2016,MA,,,,,,,,,,,,,,,,,,,,
,5th,0,"285,606",2016,MA,,,,,,,,,,,,,,,,,,,,
,6th,0,"308,923",2016,MA,,,,,,,,,,,,,,,,,,,,
,7th,0,"253,354",2016,MA,,,,,,,,,,,,,,,,,,,,
,8th,"102,744","271,019",2016,MA,,,,,,,,,,,,,,,,,,,,
,9th,"127,803","211,790",2016,MA,,,,,,,,,,,,,,,,,,,,
,,"451,121","2,344,518",2016,MA,,,,,,,,,,,,,,,,,,,,
,,"1,090,893","1,995,196",2016,MA,,,,,,,,,,,,,,,,,,,,
,1st,"197,777","144,334",2016,MI,,,,,,,,,,,,,,,,,,,,
,2d,"212,508","110,391",2016,MI,,,,,,,,,,,,,,,,,,,,
,3d,"203,545","128,400",2016,MI,,,,,,,,,,,,,,,,,,,,
,4th,"194,572","101,277",2016,MI,,,,,,,,,,,,,,,,,,,,
,5th,"112,102","195,279",2016,MI,,,,,,,,,,,,,,,,,,,,
,6th,"193,259","119,980",2016,MI,,,,,,,,,,,,,,,,,,,,
,7th,"184,321","134,010",2016,MI,,,,,,,,,,,,,,,,,,,,
,8th,"205,629","143,791",2016,MI,,,,,,,,,,,,,,,,,,,,
,9th,"128,937","199,661",2016,MI,,,,,,,,,,,,,,,,,,,,
,10th,"215,132","110,112",2016,MI,,,,,,,,,,,,,,,,,,,,
,11th,"200,872","152,461",2016,MI,,,,,,,,,,,,,,,,,,,,
,12th,"96,104","211,378",2016,MI,,,,,,,,,,,,,,,,,,,,
,13th,"40,541","198,771",2016,MI,,,,,,,,,,,,,,,,,,,,
,14th,"58,103","244,135",2016,MI,,,,,,,,,,,,,,,,,,,,
,,"2,243,402","2,193,980",2016,MI,,,,,,,,,,,,,,,,,,,,
,,"2,279,543","2,268,839",2016,MI,,,,,,,,,,,,,,,,,,,,
,1st,"166,524","169,071",2016,MN,,,,,,,,,,,,,,,,,,,,
,2d,"173,970",0,2016,MN,,,,,,,,,,,,,,,,,,,,
,3d,"223,075",0,2016,MN,,,,,,,,,,,,,,,,,,,,
,4th,"121,033","203,299",2016,MN,,,,,,,,,,,,,,,,,,,,
,5th,"80,660","249,957",2016,MN,,,,,,,,,,,,,,,,,,,,
,6th,"235,385",0,2016,MN,,,,,,,,,,,,,,,,,,,,
,7th,"156,944","173,572",2016,MN,,,,,,,,,,,,,,,,,,,,
,8th,"177,088","179,097",2016,MN,,,,,,,,,,,,,,,,,,,,
,,"1,334,679","974,996",2016,MN,,,,,,,,,,,,,,,,,,,,
,,"1,322,949",0,2016,MN,,,,,,,,,,,,,,,,,,,,
,1st,"206,455","83,947",2016,MS,,,,,,,,,,,,,,,,,,,,
,2d,"83,542","192,343",2016,MS,,,,,,,,,,,,,,,,,,,,
,3d,"209,490","96,101",2016,MS,,,,,,,,,,,,,,,,,,,,
,4th,"181,323","77,505",2016,MS,,,,,,,,,,,,,,,,,,,,
,,"680,810","449,896",2016,MS,,,,,,,,,,,,,,,,,,,,
,,"700,714","485,131",2016,MS,,,,,,,,,,,,,,,,,,,,
,1st,"62,714","236,993",2016,MO,,,,,,,,,,,,,,,,,,,,
,2Nd,"241,954","155,689",2016,MO,,,,,,,,,,,,,,,,,,,,
,3rd,"249,865","102,891",2016,MO,,,,,,,,,,,,,,,,,,,,
,4th,"225,348","92,510",2016,MO,,,,,,,,,,,,,,,,,,,,
,5th,"123,771","190,766",2016,MO,,,,,,,,,,,,,,,,,,,,
,6th,"238,388","99,692",2016,MO,,,,,,,,,,,,,,,,,,,,
,7th,"228,692","92,756",2016,MO,,,,,,,,,,,,,,,,,,,,
,8th,"229,792","70,009",2016,MO,,,,,,,,,,,,,,,,,,,,
,,"1,600,524","1,041,306",2016,MO,,,,,,,,,,,,,,,,,,,,
,,"1,378,458","1,300,200",2016,MO,,,,,,,,,,,,,,,,,,,,
,,"1,594,511","1,071,068",2016,MO,,,,,,,,,,,,,,,,,,,,
,1,"285,358","205,919",2016,MT,,,,,,,,,,,,,,,,,,,,
,,"279,240","177,709",2016,MT,,,,,,,,,,,,,,,,,,,,
,1st,"189,771","83,467",2016,NE,,,,,,,,,,,,,,,,,,,,
,2d,"141,066","137,602",2016,NE,,,,,,,,,,,,,,,,,,,,
,3d,"226,720",0,2016,NE,,,,,,,,,,,,,,,,,,,,
,,"557,557","221,069",2016,NE,,,,,,,,,,,,,,,,,,,,
,,"495,961","284,494",2016,NE,,,,,,,,,,,,,,,,,,,,
,1st,"54,174","116,537",2016,NV,,,,,,,,,,,,,,,,,,,,
,2d,"182,676","115,722",2016,NV,,,,,,,,,,,,,,,,,,,,
,3d,"142,926","146,869",2016,NV,,,,,,,,,,,,,,,,,,,,
,4th,"118,328","128,985",2016,NV,,,,,,,,,,,,,,,,,,,,
,,"498,104","508,113",2016,NV,,,,,,,,,,,,,,,,,,,,
,,"495,079","521,994",2016,NV,,,,,,,,,,,,,,,,,,,,
,,"512,058","539,260",2016,NV,,,,,,,,,,,,,,,,,,,,
,1st,"157,176","162,080",2016,NH,,,,,,,,,,,,,,,,,,,,
,2d,"158,825","174,371",2016,NH,,,,,,,,,,,,,,,,,,,,
,,"316,001","336,451",2016,NH,,,,,,,,,,,,,,,,,,,,
,,"353,632","354,649",2016,NH,,,,,,,,,,,,,,,,,,,,
,,"345,790","348,526",2016,NH,,,,,,,,,,,,,,,,,,,,
,1st,"112,388","183,231",2016,NJ,,,,,,,,,,,,,,,,,,,,
,2d,"176,338","110,838",2016,NJ,,,,,,,,,,,,,,,,,,,,
,3d,"194,596","127,526",2016,NJ,,,,,,,,,,,,,,,,,,,,
,4th,"211,992","111,532",2016,NJ,,,,,,,,,,,,,,,,,,,,
,5th,"157,690","172,587",2016,NJ,,,,,,,,,,,,,,,,,,,,
,6th,"91,908","167,895",2016,NJ,,,,,,,,,,,,,,,,,,,,
,7th,"185,850","148,188",2016,NJ,,,,,,,,,,,,,,,,,,,,
,8th,"32,337","134,733",2016,NJ,,,,,,,,,,,,,,,,,,,,
,9th,"65,376","162,642",2016,NJ,,,,,,,,,,,,,,,,,,,,
,10th,"26,450","190,856",2016,NJ,,,,,,,,,,,,,,,,,,,,
,11th,"194,299","130,162",2016,NJ,,,,,,,,,,,,,,,,,,,,
,12th,"92,407","181,430",2016,NJ,,,,,,,,,,,,,,,,,,,,
,,"1,541,631","1,821,620",2016,NJ,,,,,,,,,,,,,,,,,,,,
,,"1,601,933","2,148,278",2016,NJ,,,,,,,,,,,,,,,,,,,,
,1st,"96,879","181,088",2016,NM,,,,,,,,,,,,,,,,,,,,
,2d,"143,515","85,232",2016,NM,,,,,,,,,,,,,,,,,,,,
,3d,"102,730","170,612",2016,NM,,,,,,,,,,,,,,,,,,,,
,,"343,124","436,932",2016,NM,,,,,,,,,,,,,,,,,,,,
,,"319,667","385,234",2016,NM,,,,,,,,,,,,,,,,,,,,
,1st,"158,409",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,2d,0,0,2016,NY,,,,,,,,,,,,,,,,,,,,
,3d,"133,954",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,4th,"111,246",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,5th,"26,791",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,6th,"43,770",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,7th,"14,941",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,8th,0,0,2016,NY,,,,,,,,,,,,,,,,,,,,
,9th,0,0,2016,NY,,,,,,,,,,,,,,,,,,,,
,10th,"46,275",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,11th,"122,606",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,12th,"49,398",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,13th,"13,129",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,14th,"26,891",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,15th,"6,129",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,16th,0,0,2016,NY,,,,,,,,,,,,,,,,,,,,
,17th,0,0,2016,NY,,,,,,,,,,,,,,,,,,,,
,18th,"111,117",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,19th,"135,905",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,20th,"83,328",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,21st,"152,597",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,22d,"113,287",0,2016,NY,,,,,,,,,,,,,,,,,,,,
