,District,Democratic,Republican,Year,State,,,,,,,,,,,,,,,,,,,,,
,24th,"218,825","59,084",2020,FL,,,,,,,,,,,,,,,,,,,,,
,25th,0,1,2020,FL,,,,,,,,,,,,,,,,,,,,,
,26th,"165,407","177,223",2020,FL,,,,,,,,,,,,,,,,,,,,,
,27th,"166,758","176,141",2020,FL,,,,,,,,,,,,,,,,,,,,,
,,"4,942,287","5,469,164",2020,FL,,,,,,,,,,,,,,,,,,,,,
,,"5,297,045","5,668,731",2020,FL,,,,,,,,,,,,,,,,,,,,,
,1st,"135,238","189,457",2020,GA,,,,,,,,,,,,,,,,,,,,,
,2d,"161,397","111,620",2020,GA,,,,,,,,,,,,,,,,,,,,,
,3d,"129,792","241,526",2020,GA,,,,,,,,,,,,,,,,,,,,,
,4th,"278,906","69,393",2020,GA,,,,,,,,,,,,,,,,,,,,,
,5th,"301,857","52,646",2020,GA,,,,,,,,,,,,,,,,,,,,,
,6th,"216,775","180,329",2020,GA,,,,,,,,,,,,,,,,,,,,,
,7th,"190,900","180,564",2020,GA,,,,,,,,,,,,,,,,,,,,,
,8th,"109,264","198,701",2020,GA,,,,,,,,,,,,,,,,,,,,,
,9th,"79,797","292,750",2020,GA,,,,,,,,,,,,,,,,,,,,,
,10th,"142,636","235,810",2020,GA,,,,,,,,,,,,,,,,,,,,,
,11th,"160,623","245,259",2020,GA,,,,,,,,,,,,,,,,,,,,,
,12th,"129,061","181,038",2020,GA,,,,,,,,,,,,,,,,,,,,,
,13th,"279,045","81,476",2020,GA,,,,,,,,,,,,,,,,,,,,,
,14th,"77,798","229,827",2020,GA,,,,,,,,,,,,,,,,,,,,,
,,"2,393,089","2,490,396",2020,GA,,,,,,,,,,,,,,,,,,,,,
,,"5,320,313","5,563,726",2020,GA,,,,,,,,,,,,,,,,,,,,,
,,"2,474,507","2,461,837",2020,GA,,,,,,,,,,,,,,,,,,,,,
,1st,"183,245","71,188",2020,HI,,,,,,,,,,,,,,,,,,,,,
,2d,"171,517","84,027",2020,HI,,,,,,,,,,,,,,,,,,,,,
,,"354,762","155,215",2020,HI,,,,,,,,,,,,,,,,,,,,,
,,"366,130","196,864",2020,HI,,,,,,,,,,,,,,,,,,,,,
,1st,"131,380","310,736",2020,ID,,,,,,,,,,,,,,,,,,,,,
,2d,"124,151","250,669",2020,ID,,,,,,,,,,,,,,,,,,,,,
,,"255,531","561,405",2020,ID,,,,,,,,,,,,,,,,,,,,,
,,"285,864","538,446",2020,ID,,,,,,,,,,,,,,,,,,,,,
,,"287,021","554,119",2020,ID,,,,,,,,,,,,,,,,,,,,,
,1st,"239,943","85,027",2020,IL,,,,,,,,,,,,,,,,,,,,,
,2d,"234,896","63,142",2020,IL,,,,,,,,,,,,,,,,,,,,,
,3d,"172,997","133,851",2020,IL,,,,,,,,,,,,,,,,,,,,,
,4th,"187,219","35,518",2020,IL,,,,,,,,,,,,,,,,,,,,,
,5th,"255,661","96,200",2020,IL,,,,,,,,,,,,,,,,,,,,,
,6th,"213,777","183,891",2020,IL,,,,,,,,,,,,,,,,,,,,,
,7th,"249,383","41,390",2020,IL,,,,,,,,,,,,,,,,,,,,,
,8th,"186,251",0,2020,IL,,,,,,,,,,,,,,,,,,,,,
,9th,"262,045","107,125",2020,IL,,,,,,,,,,,,,,,,,,,,,
,10th,"202,402","114,442",2020,IL,,,,,,,,,,,,,,,,,,,,,
,11th,"194,557","112,807",2020,IL,,,,,,,,,,,,,,,,,,,,,
,12th,"127,577","194,839",2020,IL,,,,,,,,,,,,,,,,,,,,,
,13th,"151,648","181,373",2020,IL,,,,,,,,,,,,,,,,,,,,,
,14th,"203,209","197,835",2020,IL,,,,,,,,,,,,,,,,,,,,,
