,District,Republican,Democratic,Year,State
518,5th,"193,009","149,214",2012,VA
519,6th,"211,278","111,949",2012,VA
520,7th,"222,983","158,012",2012,VA
521,8th,"107,370","226,847",2012,VA
522,9th,"184,882","116,400",2012,VA
523,10th,"214,038","142,024",2012,VA
524,11th,"117,902","202,606",2012,VA
528,1st,"151,187","177,025",2012,WA
529,2d,"117,465","184,826",2012,WA
530,3d,"177,446","116,438",2012,WA
531,4th,"154,749","78,940",2012,WA
532,5th,"191,066","117,512",2012,WA
533,6th,"129,725","186,661",2012,WA
534,7th,"76,212","298,368",2012,WA
535,8th,"180,204","121,886",2012,WA
536,9th,"76,105","192,034",2012,WA
537,10th,"115,381","163,036",2012,WA
541,1st,"133,809","80,342",2012,WV
542,2d,"158,206","68,560",2012,WV
543,3d,"92,238","108,199",2012,WV
547,1st,"200,423","158,414",2012,WI
548,2d,"124,683","265,422",2012,WI
549,3d,"121,713","217,712",2012,WI
550,4th,"80,787","235,257",2012,WI
551,5th,"250,335","118,478",2012,WI
552,6th,"223,460","135,921",2012,WI
553,7th,"201,720","157,524",2012,WI
554,8th,"198,874","156,287",2012,WI
558,1,"166,452","57,573",2012,WY
